;solvent_names;solvent_class;base_names;base_class;temperature;ligand;Pd source;yield;article;reaction_smiles;boronate;bromide;condition_string
188;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;20;PPh3;Pd[P(Ph)3]2Cl2;98.0;"Article; Clapham, Kate M.; Batsanov, Andrei S.; Bryce, Martin R.; Tarbit, Brian; Organic and Biomolecular Chemistry; vol. 7; 10; (2009); p. 2155 - 2161;";BrC1=CC2=CC=CC=C2N=C1.OB(O)C1=CC(=CN=C1)C(F)(F)F>>FC(F)(F)C1=CN=CC(=C1)C1=CN=C2C=CC=CC2=C1;OB(O)C1=CC(=CN=C1)C(F)(F)F;BrC1=CC2=CC=CC=C2N=C1;1,4-dioxane:water,,Na2CO3,,PPh3
225;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;140;PPh3;Pd[P(Ph)3]4;72.0;"Article; Srour, Hassan; Doan, Thu-Hong; Silva, Elisabeth Da; Whitby, Richard J.; Witulski, Bernhard; Journal of Materials Chemistry C; vol. 4; 26; (2016); p. 6270 - 6279;";OB(O)C1=CC2=C(S1)C=CC=C2.CCCCCCN1C2=C(C=C(C(Br)=C2)N(=O)=O)C2=C1C=C(Br)C(=C2)N(=O)=O>>CCCCCCN1C2=CC(C3=CC4=C(S3)C=CC=C4)=C(C=C2C2=CC(=C(C=C12)C1=CC2=C(S1)C=CC=C2)N(=O)=O)N(=O)=O;OB(O)C1=CC2=C(S1)C=CC=C2;CCCCCCn1c2cc(Br)c([N+](=O)[O-])cc2c2cc([N+](=O)[O-])c(-c3cc4ccccc4s3)cc21;DMF:water,,Na2CO3,,PPh3
267;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;20;PPh3;Pd[P(Ph)3]2Cl2;90.0;"Article; Thompson, Amy E.; Batsanov, Andrei S.; Bryce, Martin R.; Saygili, Nezire; Parry, Paul R.; Tarbit, Brian; Tetrahedron; vol. 61; 21; (2005); p. 5131 - 5135;";CCOC1=C(C=CC=N1)B(O)O.COC(=O)C1=NC(Br)=CN=C1N>>CCOC1=C(C=CC=N1)C1=NC(C(=O)OC)=C(N)N=C1;CCOC1=C(C=CC=N1)B(O)O;COC(=O)C1=NC(Br)=CN=C1N;1,4-dioxane:water,,Na2CO3,,PPh3
278;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;73.0;"Article; Burzicki, Gregory; Voisin-Chiret, Anne Sophie; Santos, Jana Sopkova-De Oliveira; Rault, Sylvain; Synthesis; 16; (2010); p. 2804 - 2810;";BrC1=CN=C(I)C=C1.OB(O)C1=CN=C(Br)C=C1>>BrC1=CN=C(C=C1)C1=CC=C(Br)N=C1;OB(O)C1=CN=C(Br)C=C1;BrC1=CN=C(I)C=C1;1,4-dioxane:water,,Na2CO3,,PPh3
279;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;96.0;"Article; Siddle, Jamie S.; Batsanov, Andrei S.; Bryce, Martin R.; European Journal of Organic Chemistry; 16; (2008); p. 2746 - 2750;";CCOC1=C(C=CC=N1)B(O)O.BrC1=CN=C(C=C1)N1C=NC2=C1C=CC=C2>>CCOC1=C(C=CC=N1)C1=CC=C(N=C1)N1C=NC2=C1C=CC=C2;CCOC1=C(C=CC=N1)B(O)O;BrC1=CN=C(C=C1)N1C=NC2=C1C=CC=C2;1,4-dioxane:water,,Na2CO3,,PPh3
285;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;20;PPh3;Pd[P(Ph)3]2Cl2;75.0;"Article; Clapham, Kate M.; Batsanov, Andrei S.; Bryce, Martin R.; Tarbit, Brian; Organic and Biomolecular Chemistry; vol. 7; 10; (2009); p. 2155 - 2161;";OB(O)C1=CC=C(N=C1)C(F)(F)F.NC1=NC=C(Br)C=C1N(=O)=O>>NC1=C(C=C(C=N1)C1=CC=C(N=C1)C(F)(F)F)N(=O)=O;OB(O)C1=CC=C(N=C1)C(F)(F)F;NC1=NC=C(Br)C=C1N(=O)=O;1,4-dioxane:water,,Na2CO3,,PPh3
286;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;20;PPh3;Pd[P(Ph)3]2Cl2;78.0;"Article; Clapham, Kate M.; Batsanov, Andrei S.; Bryce, Martin R.; Tarbit, Brian; Organic and Biomolecular Chemistry; vol. 7; 10; (2009); p. 2155 - 2161;";OB(O)C1=CC(=CN=C1)C(F)(F)F.NC1=NC=C(Br)C=C1N(=O)=O>>NC1=C(C=C(C=N1)C1=CC(=CN=C1)C(F)(F)F)N(=O)=O;OB(O)C1=CC(=CN=C1)C(F)(F)F;NC1=NC=C(Br)C=C1N(=O)=O;1,4-dioxane:water,,Na2CO3,,PPh3
287;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;20;PPh3;Pd[P(Ph)3]4;80.0;"Article; Clapham, Kate M.; Batsanov, Andrei S.; Bryce, Martin R.; Tarbit, Brian; Organic and Biomolecular Chemistry; vol. 7; 10; (2009); p. 2155 - 2161;";FC(F)(F)C1=NN(C(=C1Br)C1=NC=CC=C1)C1=CC=CC=C1.COC1=CC=C(C=N1)B(O)O>>COC1=NC=C(C=C1)C1=C(N(N=C1C(F)(F)F)C1=CC=CC=C1)C1=NC=CC=C1;COC1=CC=C(C=N1)B(O)O;FC(F)(F)C1=NN(C(=C1Br)C1=NC=CC=C1)C1=CC=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
290;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;50;PPh3;Pd[P(Ph)3]4;30.0;"Article; Delaunay, Thierry; Genix, Pierre; Es-Sayed, Mazen; Vors, Jean-Pierre; Monteiro, Nuno; Balme, Genevieve; Organic Letters; vol. 12; 15; (2010); p. 3328 - 3331;";COC1=CC=C(C=C1)N1N=C(Br)C=C1I.COC1=CC2=C(C=C1)N(C(=O)OC(C)(C)C)C(=C2)B(O)O>>COC1=CC=C(C=C1)N1N=C(Br)C=C1C1=CC2=C(C=CC(OC)=C2)N1C(=O)OC(C)(C)C;COC1=CC2=C(C=C1)N(C(=O)OC(C)(C)C)C(=C2)B(O)O;COC1=CC=C(C=C1)N1N=C(Br)C=C1I;DMF:water,,K3PO4,,PPh3
335;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;100;P(cychex)3;Pd2(dba)3;81.0;"Article; Morita, Taiki; Kobayashi, Daisuke; Matsumura, Keisuke; Johmoto, Kohei; Uekusa, Hidehiro; Fuse, Shinichiro; Takahashi, Takashi; Chemistry - An Asian Journal; vol. 10; 8; (2015); p. 1626 - 1630;";IC1=NN(C=C1)C1=CC=C(C=C1)C#N.OB(O)C1=CC=CN=C1>>N#CC1=CC=C(C=C1)N1C=CC(=N1)C1=CN=CC=C1;OB(O)C1=CC=CN=C1;IC1=NN(C=C1)C1=CC=C(C=C1)C#N;1,4-dioxane:water,,K3PO4,,Pcy3
336;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;100;PtBu3;Pd2(dba)3;91.0;"Article; Shmatova, Olga I.; Shevchenko, Nikolay E.; Nenajdenko, Valentine G.; European Journal of Organic Chemistry; vol. 2015; 29; (2015); p. 6479 - 6488;";OB(O)C1=CSC=C1.CC(=O)NCCC1=C(NC2=CC=C(Br)C=C12)C(F)(F)F>>CC(=O)NCCC1=C(NC2=CC=C(C=C12)C1=CSC=C1)C(F)(F)F;OB(O)C1=CSC=C1;CC(=O)NCCC1=C(NC2=CC=C(Br)C=C12)C(F)(F)F;1,4-dioxane:water,,Na2CO3,,P(tBu)3
337;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;100;PtBu3;Pd2(dba)3;97.0;"Article; Shmatova, Olga I.; Shevchenko, Nikolay E.; Nenajdenko, Valentine G.; European Journal of Organic Chemistry; vol. 2015; 29; (2015); p. 6479 - 6488;";CC(=O)NCCC1=C(NC2=CC=C(Br)C=C12)C(F)(F)F.COC1=CC=C(C=N1)B(O)O>>COC1=NC=C(C=C1)C1=CC=C2NC(=C(CCNC(C)=O)C2=C1)C(F)(F)F;COC1=CC=C(C=N1)B(O)O;CC(=O)NCCC1=C(NC2=CC=C(Br)C=C12)C(F)(F)F;1,4-dioxane:water,,Na2CO3,,P(tBu)3
340;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;110;PPh3;Pd[P(Ph)3]4;70.0;"Article; Ondachi, Pauline W.; Castro, Ana H.; Sherman, Benjamin; Luetje, Charles W.; Damaj, M. Imad; Mascarella, S. Wayne; Navarro, Hernan A.; Carroll; ACS Chemical Neuroscience; vol. 8; 1; (2017); p. 115 - 127;";OB(O)C1=CSC=C1.FC1=C(Br)C=C(C=N1)[C@H]1C[C@@H]2CC[C@H]1N2>>[H][C@]12CC[C@]([H])(N1)[C@@H](C2)C1=CN=C(F)C(=C1)C1=CSC=C1;OB(O)C1=CSC=C1;FC1=C(Br)C=C(C=N1)[C@H]1C[C@@H]2CC[C@H]1N2;1,4-dioxane:water,,Na2CO3,,PPh3
344;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;110;PPh3;Pd[P(Ph)3]4;76.0;"Article; Vichier-Guerre; Dugue; Bonhomme; Pochet; Organic and Biomolecular Chemistry; vol. 15; 38; (2017); p. 8193 - 8203;";OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC(I)=C1.CC(C)(C)OC1=NC=C(B(O)O)C(OC(C)(C)C)=N1>>CC(C)(C)OC1=NC(OC(C)(C)C)=C(C=N1)C1=CN(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1;CC(C)(C)OC1=NC=C(B(O)O)C(OC(C)(C)C)=N1;OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC(I)=C1;DMF:water,,Na2CO3,,PPh3
345;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;110;PPh3;Pd[P(Ph)3]4;80.0;"Article; Vichier-Guerre; Dugue; Bonhomme; Pochet; Organic and Biomolecular Chemistry; vol. 15; 38; (2017); p. 8193 - 8203;";OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC=C1I.CC(C)(C)OC1=NC=C(B(O)O)C(OC(C)(C)C)=N1>>CC(C)(C)OC1=NC(OC(C)(C)C)=C(C=N1)C1=CN=CN1[C@H]1C[C@H](O)[C@@H](CO)O1;CC(C)(C)OC1=NC=C(B(O)O)C(OC(C)(C)C)=N1;OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC=C1I;DMF:water,,Na2CO3,,PPh3
349;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;75;,,xphos;chloro(2-dicyclohexylphosphino-2?,4?,6?-triisopropyl-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl?)]palladium(II);94.0;"Article; Aebly, Andrew H.; Levy, Jeffrey N.; Steger, Benjamin J.; Quirke, Jonathan C.; Belitsky, Jason M.; RSC Advances; vol. 8; 50; (2018); p. 28323 - 28328;";OB(O)C1=CSC=C1.CCOC(=O)C1=C(I)C2=C(N1)C=C(OC)C(OC)=C2>>CCOC(=O)C1=C(C2=CSC=C2)C2=CC(OC)=C(OC)C=C2N1;OB(O)C1=CSC=C1;CCOC(=O)C1=C(I)C2=C(N1)C=C(OC)C(OC)=C2;1,4-dioxane:water,,K3PO4,,XPhos
350;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;75;,,xphos;chloro(2-dicyclohexylphosphino-2?,4?,6?-triisopropyl-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl?)]palladium(II);96.0;"Article; Aebly, Andrew H.; Levy, Jeffrey N.; Steger, Benjamin J.; Quirke, Jonathan C.; Belitsky, Jason M.; RSC Advances; vol. 8; 50; (2018); p. 28323 - 28328;";OB(O)C1=CC2=C(O1)C=CC=C2.CCOC(=O)C1=C(I)C2=C(N1)C=C(OC)C(OC)=C2>>CCOC(=O)C1=C(C2=CC3=CC=CC=C3O2)C2=C(N1)C=C(OC)C(OC)=C2;OB(O)C1=CC2=C(O1)C=CC=C2;CCOC(=O)C1=C(I)C2=C(N1)C=C(OC)C(OC)=C2;1,4-dioxane:water,,K3PO4,,XPhos
351;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;75;,,xphos;chloro(2-dicyclohexylphosphino-2?,4?,6?-triisopropyl-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl?)]palladium(II);91.0;"Article; Aebly, Andrew H.; Levy, Jeffrey N.; Steger, Benjamin J.; Quirke, Jonathan C.; Belitsky, Jason M.; RSC Advances; vol. 8; 50; (2018); p. 28323 - 28328;";CCOC(=O)C1=C(I)C2=C(N1)C=C(OC)C(OC)=C2.OB(O)C1=CC=CC2=C1C=CN2>>CCOC(=O)C1=C(C2=C(N1)C=C(OC)C(OC)=C2)C1=CC=CC2=C1C=CN2;OB(O)C1=CC=CC2=C1C=CN2;CCOC(=O)C1=C(I)C2=C(N1)C=C(OC)C(OC)=C2;1,4-dioxane:water,,K3PO4,,XPhos
352;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;75;,,xphos;chloro(2-dicyclohexylphosphino-2?,4?,6?-triisopropyl-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl?)]palladium(II);87.0;"Article; Aebly, Andrew H.; Levy, Jeffrey N.; Steger, Benjamin J.; Quirke, Jonathan C.; Belitsky, Jason M.; RSC Advances; vol. 8; 50; (2018); p. 28323 - 28328;";CCOC(=O)C1=C(I)C2=C(N1)C=C(OC)C(OC)=C2.OB(O)C1=CC2=C(C=CN2)C=C1>>CCOC(=O)C1=C(C2=C(N1)C=C(OC)C(OC)=C2)C1=CC2=C(C=CN2)C=C1;OB(O)C1=CC2=C(C=CN2)C=C1;CCOC(=O)C1=C(I)C2=C(N1)C=C(OC)C(OC)=C2;1,4-dioxane:water,,K3PO4,,XPhos
382;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;80;PPh3;Pd[P(Ph)3]4;26.0;"Article; Aurelio, Luigi; Figler, Heidi; Flynn, Bernard L.; Linden, Joel; Scammells, Peter J.; Bioorganic and Medicinal Chemistry; vol. 16; 3; (2008); p. 1319 - 1327;";CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(Br)=C1C1=CC=CC(=C1)C(F)(F)F.OB(O)C1=CC=NC=C1>>CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(=C1C1=CC=CC(=C1)C(F)(F)F)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;CCOC(=O)C1=C(NC(=O)OC(C)(C)C)SC(Br)=C1C1=CC=CC(=C1)C(F)(F)F;DMF:water,,K3PO4,,PPh3
383;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;79.0;"Article; Siddle, Jamie S.; Batsanov, Andrei S.; Bryce, Martin R.; European Journal of Organic Chemistry; 16; (2008); p. 2746 - 2750;";CCOC1=C(C=CC=N1)B(O)O.BrC1=CN=C(N=C1)N1C=NC2=CC=CC=C12>>CCOC1=C(C=CC=N1)C1=CN=C(N=C1)N1C=NC2=C1C=CC=C2;CCOC1=C(C=CC=N1)B(O)O;BrC1=CN=C(N=C1)N1C=NC2=CC=CC=C12;1,4-dioxane:water,,Na2CO3,,PPh3
384;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;78.0;"Article; Siddle, Jamie S.; Batsanov, Andrei S.; Bryce, Martin R.; European Journal of Organic Chemistry; 16; (2008); p. 2746 - 2750;";CCOC1=C(C=CC=N1)B(O)O.BrC1=CN=C(N=C1)N1C=CC=C1>>CCOC1=NC=CC=C1C1=CN=C(N=C1)N1C=CC=C1;CCOC1=C(C=CC=N1)B(O)O;BrC1=CN=C(N=C1)N1C=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
386;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;40.0;"Article; Lord, Anna-Marie; Mahon, Mary F.; Lloyd, Matthew D.; Threadgill, Michael D.; Journal of Medicinal Chemistry; vol. 52; 3; (2009); p. 868 - 877;";NC(=O)C1=C2N=CC(I)=CC2=CC=C1.OB(O)C1=CC=NC=C1>>NC(=O)C1=C2N=CC(=CC2=CC=C1)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;NC(=O)C1=C2N=CC(I)=CC2=CC=C1;DMF:water,,Na2CO3,,PPh3
399;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;50;PPh3;Pd[P(Ph)3]4;81.0;"Article; Delaunay, Thierry; Es-Sayed, Mazen; Vors, Jean-Pierre; Monteiro, Nuno; Balme, Genevieve; European Journal of Organic Chemistry; 20-21; (2011); p. 3837 - 3848;";OB(O)C1=COC=C1.FC1=CC=C(C=C1)N1N=C(Br)C=C1I>>FC1=CC=C(C=C1)N1N=C(Br)C=C1C1=COC=C1;OB(O)C1=COC=C1;FC1=CC=C(C=C1)N1N=C(Br)C=C1I;DMF:water,,K3PO4,,PPh3
420;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;100;PPh3;Pd[P(Ph)3]2Cl2;79.0;"Article; Motati, Damoder Reddy; Uredi, Dilipkumar; Watkins, E. Blake; Chemical Science; vol. 9; 7; (2018); p. 1782 - 1788;";FC(F)(F)C1=CC(=CC=C1)S(=O)(=O)NC1=CC=C(Br)C2=CC=CN=C12.OB(O)C1=CC=CN=C1>>FC(F)(F)C1=CC(=CC=C1)S(=O)(=O)NC1=CC=C(C2=CN=CC=C2)C2=CC=CN=C12;OB(O)C1=CC=CN=C1;FC(F)(F)C1=CC(=CC=C1)S(=O)(=O)NC1=CC=C(Br)C2=CC=CN=C12;1,4-dioxane:water,,Na2CO3,,PPh3
428;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;100;PPh3;Pd[P(Ph)3]4;58.0;"Article; Ondachi, Pauline W.; Castro, Ana H.; Sherman, Benjamin; Luetje, Charles W.; Damaj, M. Imad; Mascarella, S. Wayne; Navarro, Hernan A.; Carroll; ACS Chemical Neuroscience; vol. 8; 1; (2017); p. 115 - 127;";OB(O)C1=CC=CS1.CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1[C@@H](C2)C1=CN=C(N)C(Br)=C1>>[H][C@@]12CC[C@@]([H])([C@@H](C1)C1=CN=C(N)C(=C1)C1=CC=CS1)N2C(=O)OC(C)(C)C;OB(O)C1=CC=CS1;CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1[C@@H](C2)C1=CN=C(N)C(Br)=C1;DMF:water,,Na2CO3,,PPh3
435;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]4;67.0;"Article; Delaye; Penichon; Allouchi; Enguehard-Gueiffier; Gueiffier; Organic and Biomolecular Chemistry; vol. 15; 19; (2017); p. 4199 - 4203;";OB(O)C1=CC=CO1.BrC1=C(N=C2C=CC=CN12)C1=CC=CC=C1>>O1C=CC=C1C1=C(N=C2C=CC=CN12)C1=CC=CC=C1;OB(O)C1=CC=CO1;BrC1=C(N=C2C=CC=CN12)C1=CC=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
